DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,FROM_YEAR,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH,PERSON_ID,PLAYERCODE,ROSTERSTATUS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_ID,TEAM_NAME,TO_YEAR
Timothe Luwawu-Cabarrot,"Luwawu-Cabarrot, Timothe",2016,Y,1,1627789,timothe_luwawu-cabarrot,0,,,,0,,2018
Tyler Lydon,"Lydon, Tyler",2017,Y,1,1628399,tyler_lydon,0,,,,0,,2018
Trey Lyles,"Lyles, Trey",2015,Y,0,1626168,trey_lyles,1,UTA,Utah,jazz,1610612762,Jazz,2018
George Lynch,"Lynch, George",1993,Y,0,248,george_lynch,0,,,,0,,2004
Kevin Lynch,"Lynch, Kevin",1991,Y,0,77426,HISTADD_kevin_lynch,0,,,,0,,1992
Mike Lynn,"Lynn, Mike",1969,Y,0,77427,HISTADD_mike_lynn,0,,,,0,,1970
Sheldon Mac,"Mac, Sheldon",2016,Y,1,1627815,sheldon_mac,0,,,,0,,2016
Todd MacCulloch,"MacCulloch, Todd",1999,Y,0,1928,todd_macculloch,0,,,,0,,2003
Ronnie MacGilvray,"MacGilvray, Ronnie",1954,Y,0,77430,HISTADD_ronnie_macgilvray,0,,,,0,,1954
Don MacLean,"MacLean, Don",1992,Y,0,931,don_maclean,0,,,,0,,2000
Mike Macaluso,"Macaluso, Mike",1973,Y,0,77428,HISTADD_mike_macaluso,0,,,,0,,1973
Ed Macauley,"Macauley, Ed",1949,Y,0,77429,HISTADD_ed_macauley,0,,,,0,,1958
Scott Machado,"Machado, Scott",2012,Y,1,203159,scott_machado,0,,,,0,,2018
Arvydas Macijauskas,"Macijauskas, Arvydas",2005,Y,0,101178,arvydas_macijauskas,0,,,,0,,2005
Ollie Mack,"Mack, Ollie",1979,Y,0,77432,HISTADD_ollie_mack,0,,,,0,,1981
Sam Mack,"Mack, Sam",1992,Y,0,694,sam_mack,0,,,,0,,2001
Shelvin Mack,"Mack, Shelvin",2011,Y,1,202714,shelvin_mack,1,UTA,Utah,jazz,1610612762,Jazz,2018
Malcolm Mackey,"Mackey, Malcolm",1993,Y,0,1635,malcolm_mackey,0,,,,0,,1993
Rudy Macklin,"Macklin, Rudy",1981,Y,0,77435,HISTADD_rudy_macklin,0,,,,0,,1983
Vernon Macklin,"Macklin, Vernon",2011,Y,1,202731,vernon_macklin,0,,,,0,,2011
Johnny Macknowski,"Macknowski, Johnny",1949,Y,0,77436,HISTADD_whitey_macknowski,0,,,,0,,1950
Daryl Macon,"Macon, Daryl",2018,Y,1,1629133,daryl_macon,0,,,,0,,2018
Mark Macon,"Macon, Mark",1991,Y,0,1855,mark_macon,0,,,,0,,1998
J.P. Macura,"Macura, J.P.",2018,Y,1,1629122,jp_macura,0,,,,0,,2018
Kyle Macy,"Macy, Kyle",1980,Y,0,77438,HISTADD_kyle_macy,0,,,,0,,1986
Jack Maddox,"Maddox, Jack",1948,Y,0,77439,HISTADD_jack_maddox,0,,,,0,,1948
Tito Maddox,"Maddox, Tito",2002,Y,0,2432,tito_maddox,0,,,,0,,2002
Gerald Madkins,"Madkins, Gerald",1993,Y,0,1666,gerald_madkins,0,,,,0,,1997
Mark Madsen,"Madsen, Mark",2000,Y,0,2058,mark_madsen,0,,,,0,,2008
Norm Mager,"Mager, Norm",1950,Y,0,77441,HISTADD_norm_mager,0,,,,0,,1950
Josh Magette,"Magette, Josh",2017,Y,11,203705,josh_magette,0,,,,0,,2017
Corey Maggette,"Maggette, Corey",1999,Y,0,1894,corey_maggette,0,,,,0,,2012
Dave Magley,"Magley, Dave",1982,Y,0,77442,HISTADD_dave_magley,0,,,,0,,1982
Jamaal Magloire,"Magloire, Jamaal",2000,Y,0,2048,jamaal_magloire,0,,,,0,,2011
Ian Mahinmi,"Mahinmi, Ian",2007,Y,1,101133,ian_mahinmi,1,IND,Indiana,pacers,1610612754,Pacers,2018
John Mahnken,"Mahnken, John",1946,Y,0,77443,HISTADD_longjohn;stretch_mahnken,0,,,,0,,1952
Francis Mahoney,"Mahoney, Francis",1952,Y,0,77444,HISTADD_mo_mahoney,0,,,,0,,1953
Rick Mahorn,"Mahorn, Rick",1980,Y,0,328,rick_mahorn,0,,,,0,,1998
Dan Majerle,"Majerle, Dan",1988,Y,0,105,dan_majerle,0,,,,0,,2001
Renaldo Major,"Major, Renaldo",2006,Y,11,200970,renaldo_major,0,,,,0,,2006
Thon Maker,"Maker, Thon",2016,Y,0,1627748,thon_maker,0,,,,0,,2018
Lionel Malamed,"Malamed, Lionel",1948,Y,0,77447,HISTADD_lionel_malamed,0,,,,0,,1948
Jeff Malone,"Malone, Jeff",1983,Y,0,117,jeff_malone,0,,,,0,,1995
Karl Malone,"Malone, Karl",1985,Y,0,252,karl_malone,0,,,,0,,2003
Moses Malone,"Malone, Moses",1976,Y,0,77449,HISTADD_moses_malone,0,,,,0,,1994
Matt Maloney,"Maloney, Matt",1996,Y,0,1074,matt_maloney,0,,,,0,,2002
Steve Malovic,"Malovic, Steve",1979,Y,0,77450,lon_babby,0,,,,0,,1979
Ted Manakas,"Manakas, Ted",1973,Y,0,77451,HISTADD_ted_manakas,0,,,,0,,1973
John Mandic,"Mandic, John",1948,Y,0,77452,HISTADD_john_mandic,0,,,,0,,1949
Frank Mangiapane,"Mangiapane, Frank",1946,Y,0,77453,HISTADD_frank_mangiapane,0,,,,0,,1946
Marcus Mann,"Mann, Marcus",1996,N,0,986,marcus_mann,0,,,,0,,1997
Danny Manning,"Manning, Danny",1988,Y,0,330,danny_manning,0,,,,0,,2002
Ed Manning,"Manning, Ed",1967,Y,0,77454,HISTADD_ed_manning,0,,,,0,,1970
Richard Manning,"Manning, Richard",1995,Y,0,316,richard_manning,0,,,,0,,1996
Pace Mannion,"Mannion, Pace",1983,Y,0,77456,HISTADD_pace_mannion,0,,,,0,,1988
Nick Mantis,"Mantis, Nick",1959,Y,0,77457,HISTADD_nick_mantis,0,,,,0,,1962
Pete Maravich,"Maravich, Pete",1970,Y,0,77459,HISTADD_pete_maravich,0,,,,0,,1979
Peter Maravich,"Maravich, Peter",1946,Y,0,77458,HISTADD_press_maravich,0,,,,0,,1946
Devyn Marble,"Marble, Devyn",2014,Y,11,203906,devyn_marble,1,ORL,Orlando,magic,1610612753,Magic,2015
Roy Marble,"Marble, Roy",1989,Y,0,77460,HISTADD_roy_marble,0,,,,0,,1993
Stephon Marbury,"Marbury, Stephon",1996,Y,0,950,stephon_marbury,0,,,,0,,2008
Sarunas Marciulionis,"Marciulionis, Sarunas",1989,Y,0,36,sarunas_marciulionis,0,,,,0,,1996
Saul Mariaschin,"Mariaschin, Saul",1947,Y,0,77462,HISTADD_saul_mariaschin,0,,,,0,,1947
Jack Marin,"Marin, Jack",1966,Y,0,77463,HISTADD_jack_marin,0,,,,0,,1976
Shawn Marion,"Marion, Shawn",1999,Y,0,1890,shawn_marion,0,,,,0,,2014
Boban Marjanovic,"Marjanovic, Boban",2015,Y,11,1626246,boban_marjanovic,1,SAS,San Antonio,spurs,1610612759,Spurs,2018
Lauri Markkanen,"Markkanen, Lauri",2017,Y,0,1628374,lauri_markkanen,0,,,,0,,2018
Damir Markota,"Markota, Damir",2006,Y,1,200806,damir_markota,0,,,,0,,2006
Sean Marks,"Marks, Sean",1998,Y,0,1752,sean_marks,0,,,,0,,2010
Harvey Marlatt,"Marlatt, Harvey",1970,Y,0,77464,HISTADD_harvey_marlatt,0,,,,0,,1972
Eric Marsh,"Marsh, Eric",1977,Y,0,77465,HISTADD_ricky_marsh,0,,,,0,,1977
Jim Marsh,"Marsh, Jim",1971,Y,0,77466,HISTADD_jim_marsh,0,,,,0,,1971
Donny Marshall,"Marshall, Donny",1995,Y,0,681,donny_marshall,0,,,,0,,2002
Donyell Marshall,"Marshall, Donyell",1994,Y,0,923,donyell_marshall,0,,,,0,,2008
Kendall Marshall,"Marshall, Kendall",2012,Y,1,203088,kendall_marshall,1,PHI,Philadelphia,sixers,1610612755,76ers,2015
Rawle Marshall,"Marshall, Rawle",2005,Y,1,101185,rawle_marshall,0,,,,0,,2006
Tom Marshall,"Marshall, Tom",1954,Y,0,77467,HISTADD_tom_marshall,0,,,,0,,1958
Vester Marshall,"Marshall, Vester",1973,Y,0,77468,HISTADD_vester_marshall,0,,,,0,,1973
Bill Martin,"Martin, Bill",1985,Y,0,77481,HISTADD_bill_martin,0,,,,0,,1987
Bob Martin,"Martin, Bob",1993,Y,0,77478,HISTADD_bob_martin,0,,,,0,,1994
